Date,Day,Ticker,TargetPrice,Open,Close,High,Low,KUp,CompareYesteday,JumpPass,RealPass,LinePass,L-Cross,L-Above,NextDay%,NextDay/YesterdayComp
10/18/21,Monday,NVDA,,217.49,222.22,222.91,216.44,True,0,,False,,False,,0.06%,0.31%
10/19/21,Tuesday,NVDA,,222.76,222.9,223.79,220.37,True,1,,False,,False,,-0.90%,-0.84%
10/20/21,Wednesday,NVDA,,223.045,221.03,224.33,219.82,False,0,,False,,False,,2.69%,2.66%
10/21/21,Thursday,NVDA,,220.97,226.92,227.11,220.83,True,0,,False,,False,,-0.43%,0.15%
10/22/21,Friday,NVDA,,228.23,227.26,231.3,225.61,False,1,,False,,False,,0.84%,1.94%
10/25/21,Monday,NVDA,,229.73,231.66,233.5499,227.7,True,1,,False,,False,,3.03%,6.70%
10/26/21,Tuesday,NVDA,,239.89,247.17,252.59,239.24,True,1,,False,,False,,-0.09%,-1.08%
10/27/21,Wednesday,NVDA,,244.74,244.51,250.9,242.8201,False,0,,False,,False,,0.25%,2.00%
10/28/21,Thursday,NVDA,,248.78,249.41,249.5,245.23,True,1,,False,,False,,2.27%,2.51%
10/29/21,Friday,NVDA,,250.005,255.67,257.09,250,True,1,,False,,False,,0.69%,1.02%
11/01/21,Monday,NVDA,,256.49,258.27,258.94,252.27,True,1,,False,,False,,2.24%,2.22%
11/02/21,Tuesday,NVDA,,258.22,264.01,266.78,258,True,1,,False,,False,,-0.27%,0.75%
11/03/21,Wednesday,NVDA,,266.7,265.98,267.84,262.35,False,1,,False,,False,,9.45%,12.04%
11/04/21,Thursday,NVDA,,272.29,298.01,313.65,271.18,True,1,,False,,False,,-1.44%,-0.16%
11/05/21,Friday,NVDA,,301.87,297.52,314,294.1,False,0,,False,,False,,2.17%,3.54%
11/08/21,Monday,NVDA,,301.49,308.04,311,299.07,True,0,,False,,False,,-5.03%,-0.48%
11/09/21,Tuesday,NVDA,,322.82,306.57,323.1,299.64,False,0,,False,,False,,0.35%,-3.91%
11/10/21,Wednesday,NVDA,,293.56,294.59,308.5,287.78,True,-1,,False,,False,,-0.26%,3.16%
11/11/21,Thursday,NVDA,,304.68,303.9,305.9,297.7701,False,1,,False,,False,,1.27%,0.00%
11/12/21,Friday,NVDA,,300.1,303.9,306.8,296.3,True,0,,False,,False,,-1.72%,-1.20%
11/15/21,Monday,NVDA,,305.52,300.25,306.44,292.47,False,0,,False,,False,
10/18/21,Monday,PYPL,,266.39,270.33,270.44,264.71,True,0,,False,,False,,0.25%,0.51%
10/19/21,Tuesday,PYPL,,271.01,271.7,273.27,269.835,True,1,,False,,False,,-5.36%,-4.91%
10/20/21,Wednesday,PYPL,,273,258.36,273.51,253.1,False,0,,False,,False,,-5.95%,-5.86%
10/21/21,Thursday,PYPL,,258.61,243.21,258.96,242.98,False,-1,,False,,False,,-1.37%,-1.16%
10/22/21,Friday,PYPL,,243.73,240.4,246.66,239.75,False,-1,,False,,False,,-3.17%,2.70%
10/25/21,Monday,PYPL,,254.955,246.88,255.52,245.82,False,1,,False,,False,,-2.59%,-1.57%
10/26/21,Tuesday,PYPL,,249.45,243,249.88,241.01,False,-1,,False,,False,,-3.65%,-3.32%
10/27/21,Wednesday,PYPL,,243.85,234.94,244.6899,233.92,False,-1,,False,,False,,-0.07%,0.80%
10/28/21,Thursday,PYPL,,237,236.83,237.94,232.78,False,0,,False,,False,,-1.21%,-1.79%
10/29/21,Friday,PYPL,,235.43,232.59,238.9,231.71,False,-1,,False,,False,,-0.61%,-0.56%
11/01/21,Monday,PYPL,,232.7,231.28,233.55,230.19,False,-1,,False,,False,,-1.32%,-0.79%
11/02/21,Tuesday,PYPL,,232.54,229.46,232.761,227.8,False,-1,,False,,False,,0.90%,0.40%
11/03/21,Wednesday,PYPL,,228.33,230.38,230.9,225.3101,True,0,,False,,False,,-1.46%,-0.94%
11/04/21,Thursday,PYPL,,231.61,228.22,231.92,225,False,0,,False,,False,,-1.83%,-1.07%
11/05/21,Friday,PYPL,,230,225.78,230.42,224.6,False,-1,,False,,False,,0.64%,1.61%
11/08/21,Monday,PYPL,,227.96,229.42,230.97,226.25,True,0,,False,,False,,-3.29%,-10.46%
11/09/21,Tuesday,PYPL,,212.4,205.42,212.4,200.68,False,-1,,False,,False,,0.26%,-0.38%
11/10/21,Wednesday,PYPL,,204.1,204.64,208.2,202.78,True,-1,,False,,False,,-2.83%,-1.28%
11/11/21,Thursday,PYPL,,207.92,202.03,208.31,201.56,False,0,,False,,False,,2.48%,3.10%
11/12/21,Friday,PYPL,,203.25,208.3,210.02,201.4835,True,0,,False,,False,,0.15%,2.04%
11/15/21,Monday,PYPL,,212.22,212.54,214.2091,210.71,True,1,,False,,False,
10/18/21,Monday,TSLA,,851.79,870.11,875.26,851.47,True,1,,False,,False,,-1.51%,-0.67%
10/19/21,Tuesday,TSLA,,877.53,864.27,877.95,862.51,False,0,,False,,False,,0.05%,0.18%
10/20/21,Wednesday,TSLA,,865.35,865.8,869.49,857.38,True,0,,False,,False,,4.44%,3.26%
10/21/21,Thursday,TSLA,,856,894,900,855.5046,True,0,,False,,False,,1.58%,1.75%
10/22/21,Friday,TSLA,,895.5,909.68,910,890.96,True,1,,False,,False,,7.82%,12.66%
10/25/21,Monday,TSLA,,950.53,1024.86,1045.02,944.2,True,1,,False,,False,,-0.61%,-0.63%
10/26/21,Tuesday,TSLA,,1024.69,1018.43,1094.94,1001.44,False,0,,False,,False,,-0.17%,1.91%
10/27/21,Wednesday,TSLA,,1039.66,1037.86,1070.88,1030.78,False,1,,False,,False,,0.82%,3.78%
10/28/21,Thursday,TSLA,,1068.305,1077.04,1081,1054.2,True,1,,False,,False,,2.97%,3.43%
10/29/21,Friday,TSLA,,1081.86,1114,1115.21,1073.205,True,1,,False,,False,,5.55%,8.49%
11/01/21,Monday,TSLA,,1145,1208.59,1209.75,1118.66,True,1,,False,,False,,1.09%,-3.03%
11/02/21,Tuesday,TSLA,,1159.355,1172,1208.59,1146,True,0,,False,,False,,3.10%,3.57%
11/03/21,Wednesday,TSLA,,1177.33,1213.86,1215.39,1152.62,True,1,,False,,False,,-0.36%,1.32%
11/04/21,Thursday,TSLA,,1234.41,1229.91,1243.49,1217,False,1,,False,,False,,-0.48%,-0.64%
11/05/21,Friday,TSLA,,1228,1222.09,1239.87,1208,False,-1,,False,,False,,1.14%,-4.84%
11/08/21,Monday,TSLA,,1149.785,1162.94,1197,1133,True,-1,,False,,False,,-12.79%,-11.99%
11/09/21,Tuesday,TSLA,,1173.6,1023.5,1174.5,1011.52,False,0,,False,,False,,5.69%,4.34%
11/10/21,Wednesday,TSLA,,1010.41,1067.95,1078.1,987.31,True,0,,False,,False,,-3.56%,-0.42%
11/11/21,Thursday,TSLA,,1102.77,1063.51,1104.97,1054.68,False,0,,False,,False,,-1.34%,-2.83%
11/12/21,Friday,TSLA,,1047.5,1033.42,1054.5,1019.2,False,-1,,False,,False,,-0.42%,-1.94%
11/15/21,Monday,TSLA,,1017.63,1013.39,1031.98,978.6,False,-1,,False,,False,
10/18/21,Monday,RBLX,,77.46,77.8,78.37,76.23,True,1,,False,,False,,1.16%,1.76%
10/19/21,Tuesday,RBLX,,78.26,79.17,79.42,78.2,True,1,,False,,False,,-1.03%,-0.75%
10/20/21,Wednesday,RBLX,,79.4,78.58,80.17,78.4,False,0,,False,,False,,6.53%,5.87%
10/21/21,Thursday,RBLX,,78.09,83.19,83.77,77.01,True,0,,False,,False,,2.60%,0.95%
10/22/21,Friday,RBLX,,81.85,83.98,84.7799,80.71,True,1,,False,,False,,2.07%,-0.92%
10/25/21,Monday,RBLX,,81.52,83.21,85.13,81.28,True,-1,,False,,False,,-0.37%,-2.79%
10/26/21,Tuesday,RBLX,,81.19,80.89,84.75,80.83,False,-1,,False,,False,,-0.80%,-0.26%
10/27/21,Wednesday,RBLX,,81.33,80.68,82.95,80.4601,False,0,,False,,False,,2.26%,2.57%
10/28/21,Thursday,RBLX,,80.92,82.75,83.5,79.11,True,0,,False,,False,,1.36%,1.53%
10/29/21,Friday,RBLX,,82.8894,84.02,86.15,82.07,True,1,,False,,False,,-3.35%,-3.43%
11/01/21,Monday,RBLX,,83.95,81.14,84.09,80.57,False,0,,False,,False,,-1.98%,-1.91%
11/02/21,Tuesday,RBLX,,81.2,79.59,81.94,79.39,False,-1,,False,,False,,-1.88%,-1.55%
11/03/21,Wednesday,RBLX,,79.86,78.36,80.5923,78.02,False,-1,,False,,False,,4.17%,5.32%
11/04/21,Thursday,RBLX,,79.23,82.53,82.64,78.8502,True,0,,False,,False,,-4.95%,-5.50%
11/05/21,Friday,RBLX,,82.05,77.99,82.08,77.05,False,0,,False,,False,,-2.56%,-1.27%
11/08/21,Monday,RBLX,,79.02,77,79.02,76.83,False,-1,,False,,False,,9.96%,42.23%
11/09/21,Tuesday,RBLX,,99.6,109.52,109.97,94.38,True,1,,False,,False,,-8.39%,-13.02%
11/10/21,Wednesday,RBLX,,103.98,95.26,104.46,93.02,False,0,,False,,False,,1.93%,3.00%
11/11/21,Thursday,RBLX,,96.26,98.12,100.41,93.0301,True,0,,False,,False,,10.54%,9.64%
11/12/21,Friday,RBLX,,97.32,107.58,107.97,96.85,True,1,,False,,False,,-0.35%,0.45%
11/15/21,Monday,RBLX,,108.44,108.06,110.35,103.82,False,1,,False,,False,
11/11/21,Thursday,RIVN,,114.625,122.99,125,108.01,True,1,,False,,False,,1.01%,5.66%
11/12/21,Friday,RIVN,,128.645,129.95,135.2,125.25,True,1,,False,,False,,14.19%,14.94%
11/15/21,Monday,RIVN,,130.8,149.36,152.53,127.51,True,1,,False,,False,,5.01%,15.16%
11/16/21,Tuesday,RIVN,,163.8,172.01,179.4699,153.78,True,1,,False,,False,,-9.21%,-15.08%
11/17/21,Wednesday,RIVN,,160.88,146.07,163,140.35,False,-1,,False,,False,,-9.22%,-14.98%
11/18/21,Thursday,RIVN,,136.81,124.195,138.78,120.15,False,-1,,False,,False,
